sensorId,name,latitude,longitude
80,"Esja, 720 mh",64.233192,-21.714415
147,"Vík í Mýrdal, 262mh,VIKM",0,0
201,"Siglufj. Miðstrandargil,320mh,SMID",66.174362,-18.912054
212,"Siglufj. Illviðishnjúkur. 1, 800mh,SILL",66.148819,-18.915323
223,"Siglufj. Illviðrishnjúkur 2, 850 mh SIL2",66.134956,-18.9904
240,"Seyðisfj. Strandat. 660mh,SEYD",65.26252,-14.011257
72,"Seyðisfj. Bjólfur, 540 mh,SEY2",65.267708,-14.034565
207,"Patreksfj. Brellur, 209mh, PATR",65.601738,-23.993731
140,"Patreksfj. Raknadalshlíð, 264mh,RA??",65.558556,-23.89514
238,"Neskaupst. Tröllagil, 620 mh,NESK",65.160286,-13.704239
224,"Siglufjörður, Grashólabrún, 630mh SGHB",66.130951,-18.985003
83,"Tálknafj. Geitárhorn. 300 mh,TALK",65.627922,-23.801691
142,"Neskaupst. Nesgil, 670mh,NGIL",65.163635,-13.676704
204,"Ólafsfjörður, Tindaöxl  380 mh,OLAF,Gamli",66.063942,-18.633444
86,"Bíldudalur, 350 mh, BILD",65.687607,-23.615099
205,"Ólafsfjarðarvegur 1,  590 mh,OVEG",66.032349,-18.538794
77,"Flateyri, Innra Bæjargil, 590 mh, IBGL",66.06356,-23.502329
226,"Ólafsfjarðarvegur 2, 610 mh,OVE2,Gamli",66.032104,-18.539568
222,"Neskaupst. Bakkagil 670 mh,NBAK",65.164619,-13.666739
232,"Dalvík, Bæjarfjall, 730mh,DBFJ",65.992607,-18.580608
78,"Flateyri, Miðhryggsgil 610mh, MHGL",66.061745,-23.485704
143,"Eskifj. Harðskafi, 570 mh,ESKI",65.093262,-14.019261
209,"Seljalandsdalur, 550mh, SELJ",66.066727,-23.214464
131,"Öxnadalur, 1050mh EY01",65.607048,-18.450333
75,"Ljósavatnsskarð,  562mh LJSK",65.718079,-17.678465
132,"Önundarfj. Selabólsurð 460mh,ONSE",66.033096,-23.4035
73,"Suðureyri, 190mh, Skiptimælir SUEY",66.126007,-23.531866
231,"Bolungarvík, Traðargil 540mh,TRA1",66.168449,-23.268696
70,"Hnífsdalur, Bakkahyrna 230mh,BHYR",66.103302,-23.119349
210,"Ísafjörður, Steiniðjugil, 420mh,SKUT",66.076302,-23.158573
860,"Seljalandsd. Kistufell 600mh,KIST",66.076256,-23.274115
139,"Súðavíkurhlíð gil 6  404mh,SU06",66.071968,-22.997826
206,"Súðavíkurhlíð gil 22 503mh,SU22",66.055519,-23.004448
